tahun,flare_MX,MX_tanpa_AR,persen_tanpa_AR,positif_sebelum,AR_berflare_sebelum,positif_sesudah,AR_berflare_sesudah
2010,8,0,0.0,106,5,106,5
2011,119,5,4.2,1170,27,1244,28
2012,136,5,3.7,1133,23,1139,23
2013,111,2,1.8,1207,34,1207,34
2014,223,14,6.3,1902,39,1924,39
2015,130,2,1.5,1160,27,1160,27
2016,16,1,6.2,102,2,102,2
2017,43,2,4.7,201,3,201,3
2018,0,0,0.0,0,0,0,0
2019,0,0,0.0,0,0,0,0
2020,2,2,100.0,0,0,0,0
2021,30,13,43.3,173,8,295,11
2022,194,172,88.7,375,13,1495,36
2023,333,283,85.0,853,28,3353,72
2024,946,69,7.3,6649,86,6787,87
2025,343,20,5.8,2679,55,2714,58
