metric,delta,lo,hi,p_better,signifikan,model,dari,ke
TSS,-0.013550382714691778,-0.04401136617853222,0.0007758768019880187,0.044,False,Regresi logistik,A. SHARP saja,B. + temporal
HSS,-0.013030562548581537,-0.03448388251907528,0.0035126612426518464,0.054,False,Regresi logistik,A. SHARP saja,B. + temporal
TSS,0.007834654590410217,-0.0013088919206300591,0.020397876369722977,0.949,False,Regresi logistik,B. + temporal,C. + riwayat
HSS,0.03846899255697406,0.0,0.08165307984083817,0.948,False,Regresi logistik,B. + temporal,C. + riwayat
TSS,-0.016277870526803406,-0.06120836341386486,0.01551017052879899,0.196,False,Random Forest,A. SHARP saja,B. + temporal
HSS,-0.025143069349011893,-0.07571480887754384,0.040283565370707694,0.167,False,Random Forest,A. SHARP saja,B. + temporal
TSS,0.02015500194939568,-0.009793112987359383,0.04745101628057633,0.924,False,Random Forest,B. + temporal,C. + riwayat
HSS,0.08800597814541991,0.0,0.17762887342425698,0.948,False,Random Forest,B. + temporal,C. + riwayat
TSS,-0.013228399196249185,-0.058282631426497936,0.014211959447478799,0.204,False,Gradient Boosting,A. SHARP saja,B. + temporal
HSS,-0.031841276210758246,-0.06974587282882118,0.01657758796262588,0.074,False,Gradient Boosting,A. SHARP saja,B. + temporal
TSS,-0.03950150453359458,-0.1670096932916415,0.013777122675545936,0.154,False,Gradient Boosting,B. + temporal,C. + riwayat
HSS,0.00020774825181918422,-0.020068797796118032,0.02235819342807399,0.446,False,Gradient Boosting,B. + temporal,C. + riwayat
TSS,-0.013550382714691778,-0.04401136617853222,0.0007758768019880187,0.044,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
HSS,-0.013030562548581537,-0.03448388251907528,0.0035126612426518464,0.054,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
TSS,0.007834654590410217,-0.0013088919206300591,0.020397876369722977,0.949,False,Regresi logistik (C disetel),B. + temporal,C. + riwayat
HSS,0.03846899255697406,0.0,0.08165307984083817,0.948,False,Regresi logistik (C disetel),B. + temporal,C. + riwayat
