metric,delta,lo,hi,p_better,signifikan,model,dari,ke
TSS,-0.14327796234772971,-0.20198337305218447,-0.07025555609315585,0.002,True,Regresi logistik,A. SHARP saja,B. + temporal
HSS,-0.10465372431360587,-0.1658614711604957,-0.046358919209739835,0.0,True,Regresi logistik,A. SHARP saja,B. + temporal
TSS,0.06746400885935766,0.00625923264099152,0.10271010849758298,0.982,True,Regresi logistik,B. + temporal,C. + riwayat
HSS,0.04289930204184614,0.014260738911306102,0.07270735093889583,1.0,True,Regresi logistik,B. + temporal,C. + riwayat
TSS,0.06854928017718709,0.002520188163409369,0.1534836040052093,0.975,True,Random Forest,A. SHARP saja,B. + temporal
HSS,0.04633769207202654,0.01789022150941159,0.07760622620164975,0.999,True,Random Forest,A. SHARP saja,B. + temporal
TSS,-0.012236987818383116,-0.03734555598046791,0.03932376891086947,0.259,False,Random Forest,B. + temporal,C. + riwayat
HSS,-0.04289800262850457,-0.07003289001626327,-0.016753023379896162,0.001,True,Random Forest,B. + temporal,C. + riwayat
TSS,-0.046057585825027614,-0.11957450071246765,0.1105962038053039,0.215,False,Gradient Boosting,A. SHARP saja,B. + temporal
HSS,-0.11862922854230804,-0.18719133462942292,-0.03406638918491471,0.001,True,Gradient Boosting,A. SHARP saja,B. + temporal
TSS,0.06799557032115167,0.019331100373377146,0.1268149476573202,0.998,True,Gradient Boosting,B. + temporal,C. + riwayat
HSS,0.03708727221147423,0.01581336198914959,0.06097594163081357,1.0,True,Gradient Boosting,B. + temporal,C. + riwayat
