metric,delta,lo,hi,p_better,signifikan,model,dari,ke
TSS,-0.016206419997015886,-0.03460624960305487,0.0006575052564997808,0.03,False,Regresi logistik,A. SHARP saja,B. + temporal
HSS,-0.013267477235346659,-0.023244101187717487,-0.0035513809080024274,0.004,True,Regresi logistik,A. SHARP saja,B. + temporal
TSS,-0.014909783024408485,-0.03760512793949405,0.008682740978019661,0.111,False,Regresi logistik,A. SHARP saja,C. + riwayat
HSS,-0.021464081340015317,-0.0359676110167754,-0.006569440796571388,0.002,True,Regresi logistik,A. SHARP saja,C. + riwayat
TSS,0.0012966369726074012,-0.01673548255727068,0.021987395104074943,0.551,False,Regresi logistik,B. + temporal,C. + riwayat
HSS,-0.008196604104668659,-0.018140419390326457,0.002059395245200832,0.051,False,Regresi logistik,B. + temporal,C. + riwayat
TSS,-0.02722303319823627,-0.07825216238318118,0.006884440821034035,0.076,False,Random Forest,A. SHARP saja,B. + temporal
HSS,0.06322398411195773,0.03765956257619821,0.0883210761162979,1.0,True,Random Forest,A. SHARP saja,B. + temporal
TSS,-0.025036831450112818,-0.07376782802128003,0.0075874005458510104,0.071,False,Random Forest,A. SHARP saja,C. + riwayat
HSS,0.0870295881818337,0.06012207225525053,0.11290149037705491,1.0,True,Random Forest,A. SHARP saja,C. + riwayat
TSS,0.002186201748123451,-0.01830376593133563,0.025070064329723942,0.573,False,Random Forest,B. + temporal,C. + riwayat
HSS,0.023805604069875974,0.012024195802768608,0.03641411274015428,1.0,True,Random Forest,B. + temporal,C. + riwayat
TSS,0.011230246086927687,-0.019697287185010737,0.04605120477465057,0.759,False,Gradient Boosting,A. SHARP saja,B. + temporal
HSS,-0.012475948559256572,-0.024455092432754833,0.00019568839595206154,0.029,False,Gradient Boosting,A. SHARP saja,B. + temporal
TSS,0.011827847858468576,-0.023958194882519716,0.04796372346519489,0.758,False,Gradient Boosting,A. SHARP saja,C. + riwayat
HSS,0.02246962007930034,0.008135910369187295,0.03674285464091517,1.0,True,Gradient Boosting,A. SHARP saja,C. + riwayat
TSS,0.0005976017715408899,-0.02566537072854801,0.023366874052105652,0.523,False,Gradient Boosting,B. + temporal,C. + riwayat
HSS,0.03494556863855691,0.02323996813846783,0.04690949404115731,1.0,True,Gradient Boosting,B. + temporal,C. + riwayat
TSS,-0.0027619222979193836,-0.034784766980830155,0.033974546106515735,0.447,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
HSS,-0.006833505664410544,-0.02389928735823764,0.008574416018662321,0.209,False,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
TSS,0.045754391200396816,0.006774031497240618,0.10169051564964507,0.992,True,Regresi logistik (C disetel),A. SHARP saja,C. + riwayat
HSS,-0.05902071169171552,-0.08285671800143982,-0.034846643673098913,0.0,True,Regresi logistik (C disetel),A. SHARP saja,C. + riwayat
TSS,0.0485163134983162,0.009094398947354976,0.1072387212187306,0.995,True,Regresi logistik (C disetel),B. + temporal,C. + riwayat
HSS,-0.05218720602730498,-0.07523408510725987,-0.028114352298791816,0.0,True,Regresi logistik (C disetel),B. + temporal,C. + riwayat
