metric,delta,lo,hi,p_better,signifikan,model,dari,ke
TSS,-0.006569872534321397,-0.014913281067351911,0.0009682538771214797,0.048,False,Regresi logistik,A. SHARP saja,B. + temporal
HSS,0.0015200106796660062,-0.00433075293690553,0.007266062071111735,0.677,False,Regresi logistik,A. SHARP saja,B. + temporal
TSS,-0.0062422875591769955,-0.01703663803852295,0.003639013602337793,0.115,False,Regresi logistik,A. SHARP saja,C. + riwayat
HSS,0.010280171909169078,0.0023668850969451455,0.01829980327551392,0.993,True,Regresi logistik,A. SHARP saja,C. + riwayat
TSS,0.00032758497514440155,-0.006238123924757621,0.007242368670416009,0.54,False,Regresi logistik,B. + temporal,C. + riwayat
HSS,0.008760161229503072,0.0035597219205668732,0.014005487239883237,1.0,True,Regresi logistik,B. + temporal,C. + riwayat
TSS,0.010058912801548026,-0.0036762181971997953,0.024040774674024698,0.922,False,Random Forest,A. SHARP saja,B. + temporal
HSS,-0.013709012472378157,-0.022803471094260345,-0.005458690359847987,0.001,True,Random Forest,A. SHARP saja,B. + temporal
TSS,0.04965937172716284,0.034224963905223726,0.0671317050504942,1.0,True,Random Forest,A. SHARP saja,C. + riwayat
HSS,0.07537106328654625,0.060877130200555546,0.0912374907457174,1.0,True,Random Forest,A. SHARP saja,C. + riwayat
TSS,0.03960045892561481,0.024482712948838393,0.057005666265915626,1.0,True,Random Forest,B. + temporal,C. + riwayat
HSS,0.0890800757589244,0.07344035817758805,0.1058082582855441,1.0,True,Random Forest,B. + temporal,C. + riwayat
TSS,0.05967201484873719,0.04208725931776383,0.0789374901449111,1.0,True,Gradient Boosting,A. SHARP saja,B. + temporal
HSS,0.040513086118027064,0.030221539288425713,0.05131017933053811,1.0,True,Gradient Boosting,A. SHARP saja,B. + temporal
TSS,0.08063737583819375,0.06261900430274205,0.10065375327497399,1.0,True,Gradient Boosting,A. SHARP saja,C. + riwayat
HSS,0.04844229745780554,0.03574392789001832,0.06184396264108073,1.0,True,Gradient Boosting,A. SHARP saja,C. + riwayat
TSS,0.02096536098945656,0.008253378741767473,0.03535086313719469,0.999,True,Gradient Boosting,B. + temporal,C. + riwayat
HSS,0.007929211339778475,-0.0002839839742486596,0.016880577365834922,0.967,False,Gradient Boosting,B. + temporal,C. + riwayat
TSS,-0.030069463619865733,-0.04311067937903766,-0.016694918955066397,0.0,True,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
HSS,-0.053968925045997096,-0.06631013886125109,-0.041981555012073415,0.0,True,Regresi logistik (C disetel),A. SHARP saja,B. + temporal
TSS,-0.0327427165017935,-0.047878309266903174,-0.018180312739182965,0.0,True,Regresi logistik (C disetel),A. SHARP saja,C. + riwayat
HSS,-0.01960568795095835,-0.03534577584591268,-0.004259089626952873,0.005,True,Regresi logistik (C disetel),A. SHARP saja,C. + riwayat
TSS,-0.002673252881927768,-0.015424373991288756,0.00851406769556644,0.312,False,Regresi logistik (C disetel),B. + temporal,C. + riwayat
HSS,0.034363237095038746,0.02375951509620836,0.044078138601610604,1.0,True,Regresi logistik (C disetel),B. + temporal,C. + riwayat
