fold,rentang_uji,model,TSS,HSS,n_uji,pos_uji
0,2014-01..2015-01,A. SHARP saja | Regresi logistik,0.7125927482533639,0.32494311473138726,36759,1902
0,2014-01..2015-01,A. SHARP saja | Random Forest,0.6888069678829294,0.3080910624115326,36759,1902
0,2014-01..2015-01,A. SHARP saja | Gradient Boosting,0.6281375034853984,0.2224469272083242,36759,1902
0,2014-01..2015-01,A. SHARP saja | Regresi logistik (C disetel),0.650836780721667,0.3257644369980512,36759,1902
0,2014-01..2015-01,B. + temporal | Regresi logistik,0.6889954803171027,0.29938895830647755,36759,1902
0,2014-01..2015-01,B. + temporal | Random Forest,0.6687079947824681,0.3151834622441805,36759,1902
0,2014-01..2015-01,B. + temporal | Gradient Boosting,0.6476937453963554,0.22451140593180166,36759,1902
0,2014-01..2015-01,B. + temporal | Regresi logistik (C disetel),0.680775324582121,0.2990466601699925,36759,1902
0,2014-01..2015-01,C. + riwayat | Regresi logistik,0.6965118593145189,0.2818075738161749,36759,1902
0,2014-01..2015-01,C. + riwayat | Random Forest,0.6835968118140009,0.34059417677594844,36759,1902
0,2014-01..2015-01,C. + riwayat | Gradient Boosting,0.6552325232547689,0.2883931199855933,36759,1902
0,2014-01..2015-01,C. + riwayat | Regresi logistik (C disetel),0.69363304004853,0.27677419468997916,36759,1902
1,2015-01..2016-01,A. SHARP saja | Regresi logistik,0.7592595431941654,0.40469484319450516,34895,1160
1,2015-01..2016-01,A. SHARP saja | Random Forest,0.7765396370289733,0.27266272226514165,34895,1160
1,2015-01..2016-01,A. SHARP saja | Gradient Boosting,0.7548809688086149,0.24734540051607648,34895,1160
1,2015-01..2016-01,A. SHARP saja | Regresi logistik (C disetel),0.7587011852010856,0.3974318816135574,34895,1160
1,2015-01..2016-01,B. + temporal | Regresi logistik,0.7460199424520731,0.4117981654805519,34895,1160
1,2015-01..2016-01,B. + temporal | Random Forest,0.7102358391724546,0.4238913618601675,34895,1160
1,2015-01..2016-01,B. + temporal | Gradient Boosting,0.7375855424888711,0.20027251250808126,34895,1160
1,2015-01..2016-01,B. + temporal | Regresi logistik (C disetel),0.6843519214159038,0.4413323206598775,34895,1160
1,2015-01..2016-01,C. + riwayat | Regresi logistik,0.7273610749094105,0.4283661030009186,34895,1160
1,2015-01..2016-01,C. + riwayat | Random Forest,0.6896429064258445,0.44450580729215455,34895,1160
1,2015-01..2016-01,C. + riwayat | Gradient Boosting,0.7565545095393611,0.22225150364989807,34895,1160
1,2015-01..2016-01,C. + riwayat | Regresi logistik (C disetel),0.7997125159074532,0.3034615237763929,34895,1160
2,2016-01..2017-01,A. SHARP saja | Regresi logistik,0.9359043267938726,0.2830766067624719,7544,102
2,2016-01..2017-01,A. SHARP saja | Random Forest,0.8073678275395082,0.20196514465062265,7544,102
2,2016-01..2017-01,A. SHARP saja | Gradient Boosting,0.7384505535619247,0.1366367544888986,7544,102
2,2016-01..2017-01,A. SHARP saja | Regresi logistik (C disetel),0.9359043267938726,0.2830766067624719,7544,102
2,2016-01..2017-01,B. + temporal | Regresi logistik,0.9426229508196722,0.30759951749095293,7544,102
2,2016-01..2017-01,B. + temporal | Random Forest,0.8953501852232427,0.30071314986766157,7544,102
2,2016-01..2017-01,B. + temporal | Gradient Boosting,0.9162859446385381,0.22838265319189596,7544,102
2,2016-01..2017-01,B. + temporal | Regresi logistik (C disetel),0.9426229508196722,0.30759951749095293,7544,102
2,2016-01..2017-01,C. + riwayat | Regresi logistik,0.9473259876377318,0.3272021418522071,7544,102
2,2016-01..2017-01,C. + riwayat | Random Forest,0.9494759473259876,0.33694747648905754,7544,102
2,2016-01..2017-01,C. + riwayat | Gradient Boosting,0.887798978769148,0.17625421926416765,7544,102
2,2016-01..2017-01,C. + riwayat | Regresi logistik (C disetel),0.9473259876377318,0.3272021418522071,7544,102
