fold,rentang_uji,model,TSS,HSS,n_uji,pos_uji
0,2022-01..2023-01,A. SHARP saja | Regresi logistik,0.6679752899371376,0.17828078368764314,36068,1495
0,2022-01..2023-01,A. SHARP saja | Random Forest,0.6457437594844393,0.15600001316190673,36068,1495
0,2022-01..2023-01,A. SHARP saja | Gradient Boosting,0.48580430898625926,0.07708135236753391,36068,1495
0,2022-01..2023-01,A. SHARP saja | Regresi logistik (C disetel),0.6811777551392154,0.22146725996031277,36068,1495
0,2022-01..2023-01,B. + temporal | Regresi logistik,0.6510878295714162,0.15545245582976197,36068,1495
0,2022-01..2023-01,B. + temporal | Random Forest,0.603677778597891,0.12344164632648992,36068,1495
0,2022-01..2023-01,B. + temporal | Gradient Boosting,0.6052315458338504,0.13304819239127427,36068,1495
0,2022-01..2023-01,B. + temporal | Regresi logistik (C disetel),0.607296779912254,0.12661739412130674,36068,1495
0,2022-01..2023-01,C. + riwayat | Regresi logistik,0.648878844598802,0.15262789405636623,36068,1495
0,2022-01..2023-01,C. + riwayat | Random Forest,0.6856909721439595,0.3254113164739377,36068,1495
0,2022-01..2023-01,C. + riwayat | Gradient Boosting,0.6381321593096552,0.16332742656421884,36068,1495
0,2022-01..2023-01,C. + riwayat | Regresi logistik (C disetel),0.5862256848409653,0.11445116084003178,36068,1495
1,2023-01..2024-01,A. SHARP saja | Regresi logistik,0.617117610342047,0.2886996663575283,47802,3353
1,2023-01..2024-01,A. SHARP saja | Random Forest,0.5744138671357317,0.2696786904966643,47802,3353
1,2023-01..2024-01,A. SHARP saja | Gradient Boosting,0.528413403239052,0.23937433923575707,47802,3353
1,2023-01..2024-01,A. SHARP saja | Regresi logistik (C disetel),0.617117610342047,0.2886996663575283,47802,3353
1,2023-01..2024-01,B. + temporal | Regresi logistik,0.6039205355146295,0.296385299682732,47802,3353
1,2023-01..2024-01,B. + temporal | Random Forest,0.6063220855084543,0.2890560100697292,47802,3353
1,2023-01..2024-01,B. + temporal | Gradient Boosting,0.5684718926808063,0.22644849110657225,47802,3353
1,2023-01..2024-01,B. + temporal | Regresi logistik (C disetel),0.6039205355146295,0.296385299682732,47802,3353
1,2023-01..2024-01,C. + riwayat | Regresi logistik,0.5909437676613691,0.3154366646898088,47802,3353
1,2023-01..2024-01,C. + riwayat | Random Forest,0.609620624533167,0.2885423499121833,47802,3353
1,2023-01..2024-01,C. + riwayat | Gradient Boosting,0.5792591108799955,0.25328017795773045,47802,3353
1,2023-01..2024-01,C. + riwayat | Regresi logistik (C disetel),0.5909437676613691,0.3154366646898088,47802,3353
2,2024-01..2025-01,A. SHARP saja | Regresi logistik,0.6895687663072898,0.4407499609774741,47478,6787
2,2024-01..2025-01,A. SHARP saja | Random Forest,0.6626615572548249,0.4089046269684001,47478,6787
2,2024-01..2025-01,A. SHARP saja | Gradient Boosting,0.6307833922343512,0.4402804633971868,47478,6787
2,2024-01..2025-01,A. SHARP saja | Regresi logistik (C disetel),0.6881670671491229,0.4379125944162543,47478,6787
2,2024-01..2025-01,B. + temporal | Regresi logistik,0.7095540024201848,0.4749336652755574,47478,6787
2,2024-01..2025-01,B. + temporal | Random Forest,0.67896832476809,0.4182856814799416,47478,6787
2,2024-01..2025-01,B. + temporal | Gradient Boosting,0.6857902143593049,0.47076812219336056,47478,6787
2,2024-01..2025-01,B. + temporal | Regresi logistik (C disetel),0.6401416741352296,0.35477559322775387,47478,6787
2,2024-01..2025-01,C. + riwayat | Regresi logistik,0.7123296822838536,0.47736031173680105,47478,6787
2,2024-01..2025-01,C. + riwayat | Random Forest,0.7083261274710553,0.4742287026155565,47478,6787
2,2024-01..2025-01,C. + riwayat | Gradient Boosting,0.6972391229849713,0.48399091335821864,47478,6787
2,2024-01..2025-01,C. + riwayat | Regresi logistik (C disetel),0.7166675350333451,0.5000125039794145,47478,6787
3,2025-01..2026-01,A. SHARP saja | Regresi logistik,0.6104804585011224,0.3977699684685947,48633,2714
3,2025-01..2026-01,A. SHARP saja | Random Forest,0.5639105500613741,0.4075664259591525,48633,2714
3,2025-01..2026-01,A. SHARP saja | Gradient Boosting,0.5970879997704458,0.3556994356543741,48633,2714
3,2025-01..2026-01,A. SHARP saja | Regresi logistik (C disetel),0.6198218650466234,0.3660297498936736,48633,2714
3,2025-01..2026-01,B. + temporal | Regresi logistik,0.5996325142910084,0.4073568219131316,48633,2714
3,2025-01..2026-01,B. + temporal | Random Forest,0.6113430841334577,0.36864543501453745,48633,2714
3,2025-01..2026-01,B. + temporal | Gradient Boosting,0.5810647350691197,0.34547617201659775,48633,2714
3,2025-01..2026-01,B. + temporal | Regresi logistik (C disetel),0.6060859897750489,0.39791780457276293,48633,2714
3,2025-01..2026-01,C. + riwayat | Regresi logistik,0.6074123456922472,0.4336290732613196,48633,2714
3,2025-01..2026-01,C. + riwayat | Random Forest,0.6142156409696655,0.40311759015745074,48633,2714
3,2025-01..2026-01,C. + riwayat | Gradient Boosting,0.6427089831036462,0.2637485137939845,48633,2714
3,2025-01..2026-01,C. + riwayat | Regresi logistik (C disetel),0.5982331709244899,0.43427736006620116,48633,2714
